Country,Category,Field,Year,Status,Score Percent
Austria,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Azerbaijan,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Belarus,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Belgium,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Bosnia and Herzegovina,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Bulgaria,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Croatia,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Cyprus,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Czech Republic,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Denmark,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Estonia,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Finland,Legal Gender Recognition,Depathologisation,2023,Not applied,0
France,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Georgia,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Germany,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Greece,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Hungary,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Iceland,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Ireland,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Italy,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Kosovo,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Latvia,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Liechtenstein,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Lithuania,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Luxembourg,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Malta,Legal Gender Recognition,Depathologisation,2023,Nationally or federally applied,0.025
Moldova,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Monaco,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Montenegro,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Netherlands,Legal Gender Recognition,Depathologisation,2023,Not applied,0
North Macedonia,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Norway,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Poland,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Portugal,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Romania,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Russia,Legal Gender Recognition,Depathologisation,2023,Not applied,0
San Marino,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Serbia,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Slovakia,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Slovenia,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Spain,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Sweden,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Switzerland,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Turkey,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Ukraine,Legal Gender Recognition,Depathologisation,2023,Not applied,0
United Kingdom,Legal Gender Recognition,Depathologisation,2023,Not applied,0
Albania,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Andorra,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Armenia,Equality & Non-Discrimination,Education (gender identity),2022,Not applied,0
Austria,Equality & Non-Discrimination,Education (gender identity),2022,Not applied,0
Azerbaijan,Equality & Non-Discrimination,Education (gender identity),2022,Not applied,0
Belarus,Equality & Non-Discrimination,Education (gender identity),2022,Not applied,0
Belgium,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Bosnia and Herzegovina,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Bulgaria,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Croatia,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Cyprus,Equality & Non-Discrimination,Education (gender identity),2022,Not applied,0
Czech Republic,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Denmark,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Estonia,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Finland,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
France,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Georgia,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Germany,Equality & Non-Discrimination,Education (gender identity),2022,P,0.011
Greece,Equality & Non-Discrimination,Education (gender identity),2022,Not applied,0
Hungary,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Iceland,Equality & Non-Discrimination,Education (gender identity),2022,Not applied,0
Ireland,Equality & Non-Discrimination,Education (gender identity),2022,Not applied,0
Italy,Equality & Non-Discrimination,Education (gender identity),2022,Not applied,0
Kosovo,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Latvia,Equality & Non-Discrimination,Education (gender identity),2022,Not applied,0
Liechtenstein,Equality & Non-Discrimination,Education (gender identity),2022,Not applied,0
Lithuania,Equality & Non-Discrimination,Education (gender identity),2022,Not applied,0
Luxembourg,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Malta,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Moldova,Equality & Non-Discrimination,Education (gender identity),2022,Not applied,0
Monaco,Equality & Non-Discrimination,Education (gender identity),2022,Not applied,0
Montenegro,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Netherlands,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
North Macedonia,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Norway,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Poland,Equality & Non-Discrimination,Education (gender identity),2022,Not applied,0
Portugal,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Romania,Equality & Non-Discrimination,Education (gender identity),2022,Not applied,0
Russia,Equality & Non-Discrimination,Education (gender identity),2022,Not applied,0
San Marino,Equality & Non-Discrimination,Education (gender identity),2022,Not applied,0
Serbia,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Slovakia,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Slovenia,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Spain,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Sweden,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Switzerland,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Turkey,Equality & Non-Discrimination,Education (gender identity),2022,Not applied,0
Ukraine,Equality & Non-Discrimination,Education (gender identity),2022,Not applied,0
United Kingdom,Equality & Non-Discrimination,Education (gender identity),2022,Nationally or federally applied,0.011
Albania,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Andorra,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Armenia,Equality & Non-Discrimination,Education (gender identity),2023,Not applied,0
Austria,Equality & Non-Discrimination,Education (gender identity),2023,Not applied,0
Azerbaijan,Equality & Non-Discrimination,Education (gender identity),2023,Not applied,0
Belarus,Equality & Non-Discrimination,Education (gender identity),2023,Not applied,0
Belgium,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Bosnia and Herzegovina,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Bulgaria,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Croatia,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Cyprus,Equality & Non-Discrimination,Education (gender identity),2023,Not applied,0
Czech Republic,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Denmark,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Estonia,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Finland,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
France,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Georgia,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Germany,Equality & Non-Discrimination,Education (gender identity),2023,P,0.011
Greece,Equality & Non-Discrimination,Education (gender identity),2023,Not applied,0
Hungary,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Iceland,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Ireland,Equality & Non-Discrimination,Education (gender identity),2023,Not applied,0
Italy,Equality & Non-Discrimination,Education (gender identity),2023,Not applied,0
Kosovo,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Latvia,Equality & Non-Discrimination,Education (gender identity),2023,Not applied,0
Liechtenstein,Equality & Non-Discrimination,Education (gender identity),2023,Not applied,0
Lithuania,Equality & Non-Discrimination,Education (gender identity),2023,Not applied,0
Luxembourg,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Malta,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Moldova,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Monaco,Equality & Non-Discrimination,Education (gender identity),2023,Not applied,0
Montenegro,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Netherlands,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
North Macedonia,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Norway,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Poland,Equality & Non-Discrimination,Education (gender identity),2023,Not applied,0
Portugal,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Romania,Equality & Non-Discrimination,Education (gender identity),2023,Not applied,0
Russia,Equality & Non-Discrimination,Education (gender identity),2023,Not applied,0
San Marino,Equality & Non-Discrimination,Education (gender identity),2023,Not applied,0
Serbia,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Slovakia,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Slovenia,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Spain,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Sweden,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Switzerland,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Turkey,Equality & Non-Discrimination,Education (gender identity),2023,Not applied,0
Ukraine,Equality & Non-Discrimination,Education (gender identity),2023,Not applied,0
United Kingdom,Equality & Non-Discrimination,Education (gender identity),2023,Nationally or federally applied,0.011
Albania,Equality & Non-Discrimination,Education (sex characteristics),2022,Nationally or federally applied,0.011
Andorra,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Armenia,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Austria,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Azerbaijan,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Belarus,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Belgium,Equality & Non-Discrimination,Education (sex characteristics),2022,Nationally or federally applied,0.011
Bosnia and Herzegovina,Equality & Non-Discrimination,Education (sex characteristics),2022,Nationally or federally applied,0.011
Bulgaria,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Croatia,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Cyprus,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Czech Republic,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Denmark,Equality & Non-Discrimination,Education (sex characteristics),2022,Nationally or federally applied,0.011
Estonia,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Finland,Equality & Non-Discrimination,Education (sex characteristics),2022,Nationally or federally applied,0.011
France,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Georgia,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Germany,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Greece,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Hungary,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Iceland,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Ireland,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Italy,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Kosovo,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Latvia,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Liechtenstein,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Lithuania,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Luxembourg,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Malta,Equality & Non-Discrimination,Education (sex characteristics),2022,Nationally or federally applied,0.011
Moldova,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Monaco,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Montenegro,Equality & Non-Discrimination,Education (sex characteristics),2022,Nationally or federally applied,0.011
Netherlands,Equality & Non-Discrimination,Education (sex characteristics),2022,Nationally or federally applied,0.011
North Macedonia,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Norway,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Poland,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Portugal,Equality & Non-Discrimination,Education (sex characteristics),2022,Nationally or federally applied,0.011
Romania,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Russia,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
San Marino,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Serbia,Equality & Non-Discrimination,Education (sex characteristics),2022,Nationally or federally applied,0.011
Slovakia,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Slovenia,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Spain,Equality & Non-Discrimination,Education (sex characteristics),2022,P,0.011
Sweden,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Switzerland,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Turkey,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Ukraine,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
United Kingdom,Equality & Non-Discrimination,Education (sex characteristics),2022,Not applied,0
Albania,Equality & Non-Discrimination,Education (sex characteristics),2023,Nationally or federally applied,0.011
Andorra,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Armenia,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Austria,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Azerbaijan,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Belarus,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Belgium,Equality & Non-Discrimination,Education (sex characteristics),2023,Nationally or federally applied,0.011
Bosnia and Herzegovina,Equality & Non-Discrimination,Education (sex characteristics),2023,Nationally or federally applied,0.011
Bulgaria,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Croatia,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Cyprus,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Czech Republic,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Denmark,Equality & Non-Discrimination,Education (sex characteristics),2023,Nationally or federally applied,0.011
Estonia,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Finland,Equality & Non-Discrimination,Education (sex characteristics),2023,Nationally or federally applied,0.011
France,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Georgia,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Germany,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Greece,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Hungary,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Iceland,Equality & Non-Discrimination,Education (sex characteristics),2023,Nationally or federally applied,0.011
Ireland,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Italy,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Kosovo,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Latvia,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Liechtenstein,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Lithuania,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Luxembourg,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Malta,Equality & Non-Discrimination,Education (sex characteristics),2023,Nationally or federally applied,0.011
Moldova,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Monaco,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Montenegro,Equality & Non-Discrimination,Education (sex characteristics),2023,Nationally or federally applied,0.011
Netherlands,Equality & Non-Discrimination,Education (sex characteristics),2023,Nationally or federally applied,0.011
North Macedonia,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Norway,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Poland,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Portugal,Equality & Non-Discrimination,Education (sex characteristics),2023,Nationally or federally applied,0.011
Romania,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Russia,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
San Marino,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Serbia,Equality & Non-Discrimination,Education (sex characteristics),2023,Nationally or federally applied,0.011
Slovakia,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Slovenia,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Spain,Equality & Non-Discrimination,Education (sex characteristics),2023,Nationally or federally applied,0.011
Sweden,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Switzerland,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Turkey,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Ukraine,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
United Kingdom,Equality & Non-Discrimination,Education (sex characteristics),2023,Not applied,0
Albania,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Andorra,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Armenia,Equality & Non-Discrimination,Education (sexual orientation),2022,Not applied,0
Austria,Equality & Non-Discrimination,Education (sexual orientation),2022,P,0.011
Azerbaijan,Equality & Non-Discrimination,Education (sexual orientation),2022,Not applied,0
Belarus,Equality & Non-Discrimination,Education (sexual orientation),2022,Not applied,0
Belgium,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Bosnia and Herzegovina,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Bulgaria,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Croatia,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Cyprus,Equality & Non-Discrimination,Education (sexual orientation),2022,Not applied,0
Czech Republic,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Denmark,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Estonia,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Finland,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
France,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Georgia,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Germany,Equality & Non-Discrimination,Education (sexual orientation),2022,P,0.011
Greece,Equality & Non-Discrimination,Education (sexual orientation),2022,Not applied,0
Hungary,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Iceland,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Ireland,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Italy,Equality & Non-Discrimination,Education (sexual orientation),2022,Not applied,0
Kosovo,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Latvia,Equality & Non-Discrimination,Education (sexual orientation),2022,Not applied,0
Liechtenstein,Equality & Non-Discrimination,Education (sexual orientation),2022,Not applied,0
Lithuania,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Luxembourg,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Malta,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Moldova,Equality & Non-Discrimination,Education (sexual orientation),2022,Not applied,0
Monaco,Equality & Non-Discrimination,Education (sexual orientation),2022,Not applied,0
Montenegro,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Netherlands,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
North Macedonia,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Norway,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Poland,Equality & Non-Discrimination,Education (sexual orientation),2022,Not applied,0
Portugal,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Romania,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Russia,Equality & Non-Discrimination,Education (sexual orientation),2022,Not applied,0
San Marino,Equality & Non-Discrimination,Education (sexual orientation),2022,Not applied,0
Serbia,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Slovakia,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Slovenia,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Spain,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Sweden,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Switzerland,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Turkey,Equality & Non-Discrimination,Education (sexual orientation),2022,Not applied,0
Ukraine,Equality & Non-Discrimination,Education (sexual orientation),2022,Not applied,0
United Kingdom,Equality & Non-Discrimination,Education (sexual orientation),2022,Nationally or federally applied,0.011
Albania,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Andorra,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Armenia,Equality & Non-Discrimination,Education (sexual orientation),2023,Not applied,0
Austria,Equality & Non-Discrimination,Education (sexual orientation),2023,P,0.011
Azerbaijan,Equality & Non-Discrimination,Education (sexual orientation),2023,Not applied,0
Belarus,Equality & Non-Discrimination,Education (sexual orientation),2023,Not applied,0
Belgium,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Bosnia and Herzegovina,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Bulgaria,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Croatia,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Cyprus,Equality & Non-Discrimination,Education (sexual orientation),2023,Not applied,0
Czech Republic,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Denmark,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Estonia,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Finland,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
France,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Georgia,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Germany,Equality & Non-Discrimination,Education (sexual orientation),2023,P,0.011
Greece,Equality & Non-Discrimination,Education (sexual orientation),2023,Not applied,0
Hungary,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Iceland,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Ireland,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Italy,Equality & Non-Discrimination,Education (sexual orientation),2023,Not applied,0
Kosovo,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Latvia,Equality & Non-Discrimination,Education (sexual orientation),2023,Not applied,0
Liechtenstein,Equality & Non-Discrimination,Education (sexual orientation),2023,Not applied,0
Lithuania,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Luxembourg,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Malta,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Moldova,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Monaco,Equality & Non-Discrimination,Education (sexual orientation),2023,Not applied,0
Montenegro,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Netherlands,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
North Macedonia,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Norway,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Poland,Equality & Non-Discrimination,Education (sexual orientation),2023,Not applied,0
Portugal,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Romania,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Russia,Equality & Non-Discrimination,Education (sexual orientation),2023,Not applied,0
San Marino,Equality & Non-Discrimination,Education (sexual orientation),2023,Not applied,0
Serbia,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Slovakia,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Slovenia,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Spain,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Sweden,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Switzerland,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Turkey,Equality & Non-Discrimination,Education (sexual orientation),2023,Not applied,0
Ukraine,Equality & Non-Discrimination,Education (sexual orientation),2023,Not applied,0
United Kingdom,Equality & Non-Discrimination,Education (sexual orientation),2023,Nationally or federally applied,0.011
Albania,Equality & Non-Discrimination,Employment (gender identity),2022,Nationally or federally applied,0.011
Andorra,Equality & Non-Discrimination,Employment (gender identity),2022,Nationally or federally applied,0.011
Armenia,Equality & Non-Discrimination,Employment (gender identity),2022,Not applied,0
Austria,Equality & Non-Discrimination,Employment (gender identity),2022,Nationally or federally applied,0.011
Azerbaijan,Equality & Non-Discrimination,Employment (gender identity),2022,Not applied,0
Belarus,Equality & Non-Discrimination,Employment (gender identity),2022,Not applied,0
Belgium,Equality & Non-Discrimination,Employment (gender identity),2022,Nationally or federally applied,0.011
Bosnia and Herzegovina,Equality & Non-Discrimination,Employment (gender identity),2022,Nationally or federally applied,0.011
